[2-38][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-39][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-40][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-41][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-42][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-43][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-44][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-45][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-46][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-47][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-48][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-49][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-50][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-51][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-52][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-53][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-54][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-55][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-56][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-57][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-58][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-59][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-60][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-61][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-62][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-63][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-64][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-65][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-66][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-67][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-68][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-69][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-70][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-71][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-72][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-73][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-74][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-75][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-76][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-77][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-78][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-79][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-80][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-81][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-82][est]:0.372070459507, [payload]:0, [RSSI]:226 
[2-83][est]:0.372070459507, [payload]:0, [RSSI]:226 
[3-0][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-1][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-2][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-3][est]:0.0494076051719, [payload]:b0, [RSSI]:227 
[3-4][est]:0.0069852285718, [payload]:b, [RSSI]:227 
[3-5][est]:0.000951115282944, [payload]:d2, [RSSI]:226 
[3-6][est]:0.000951115282944, [payload]:0, [RSSI]:226 
[3-7][est]:0.0494070867268, [payload]:0, [RSSI]:226 
[3-8][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-9][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-10][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-11][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-12][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-13][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-14][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-15][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-16][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-17][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-18][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-19][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-20][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-21][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-22][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-23][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-24][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-25][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-26][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-27][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-28][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-29][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-30][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-31][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-32][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-33][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-34][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-35][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-36][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-37][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-38][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-39][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-40][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-41][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-42][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-43][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-44][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-45][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-46][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-47][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-48][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-49][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-50][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-51][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-52][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-53][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-54][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-55][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-56][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-57][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-58][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-59][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-60][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-61][est]:0.277476008655, [payload]:0, [RSSI]:227 
[3-62][est]:0.277476008655, [payload]:0, [RSSI]:227 
