[0-78][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-79][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-80][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-81][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-82][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[0-83][est]:0.733165660628, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]0 
[1-0][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-1][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-2][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-3][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-4][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-5][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-6][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-7][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-8][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-9][est]:0.732919571667, [payload]:90, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-10][est]:0.686220878405, [payload]:d, [Metric-SINR]:[0]1.0,[1]35.8615788284,[2]64.9986264231,[3]64.9986264231 
[1-11][est]:0.635437684832, [payload]:0, [Metric-SINR]:[0]1.0,[1]35.8615788284,[2]35.8615788284,[3]64.9986264231 
[1-12][est]:0.62632495076, [payload]:0, [Metric-SINR]:[0]1.0,[1]30.0178711443,[2]35.8615788284,[3]35.8615788284 
[1-13][est]:0.613419672754, [payload]:0, [Metric-SINR]:[0]1.0,[1]28.2025264485,[2]30.0178711443,[3]35.8615788284 
[1-14][est]:0.602228794173, [payload]:0, [Metric-SINR]:[0]1.0,[1]26.6488767108,[2]26.6488767108,[3]28.2025264485 
[1-15][est]:0.609703833215, [payload]:0, [Metric-SINR]:[0]1.0,[1]30.0178711443,[2]26.6488767108,[3]26.6488767108 
[1-16][est]:0.620816822732, [payload]:0, [Metric-SINR]:[0]1.0,[1]32.3255133388,[2]30.0178711443,[3]26.6488767108 
[1-17][est]:0.681162785494, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]32.3255133388,[3]30.0178711443 
[1-18][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]32.3255133388 
[1-19][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-20][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-21][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-22][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-23][est]:0.732919571667, [payload]:0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-24][est]:0.732919571667, [payload]:f0, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
[1-25][est]:0.732919571667, [payload]:dd, [Metric-SINR]:[0]1.0,[1]64.9986264231,[2]64.9986264231,[3]64.9986264231 
