[1-66][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-67][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-68][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-69][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-70][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-71][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-72][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-73][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-74][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-75][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-76][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-77][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-78][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-79][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-80][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-81][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-82][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-83][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-84][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-85][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-86][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-87][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-88][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-89][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-90][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-91][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-92][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-93][est]:0.405465456013, [payload]:0, [RSSI]:227 
[1-94][est]:0.405465456013, [payload]:e3, [RSSI]:227 
[1-95][est]:0.405465456013, [payload]:ea, [RSSI]:227 
[2-0][est]:0.860759236217, [payload]:61, [RSSI]:231 
[2-1][est]:0.860759236217, [payload]:88, [RSSI]:231 
[2-2][est]:0.860759236217, [payload]:2, [RSSI]:231 
[2-3][est]:0.860759236217, [payload]:22, [RSSI]:231 
[2-4][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-5][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-6][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-7][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-8][est]:0.860759236217, [payload]:3f, [RSSI]:231 
[2-9][est]:0.860759236217, [payload]:ef, [RSSI]:231 
[2-10][est]:0.860759236217, [payload]:ff, [RSSI]:231 
[2-11][est]:0.860759236217, [payload]:f, [RSSI]:231 
[2-12][est]:0.860759236217, [payload]:3a, [RSSI]:231 
[2-13][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-14][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-15][est]:0.860759236217, [payload]:ae, [RSSI]:231 
[2-16][est]:0.860759236217, [payload]:d0, [RSSI]:231 
[2-17][est]:0.860759236217, [payload]:f, [RSSI]:231 
[2-18][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-19][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-20][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-21][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-22][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-23][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-24][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-25][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-26][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-27][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-28][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-29][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-30][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-31][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-32][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-33][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-34][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-35][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-36][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-37][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-38][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-39][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-40][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-41][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-42][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-43][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-44][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-45][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-46][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-47][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-48][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-49][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-50][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-51][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-52][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-53][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-54][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-55][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-56][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-57][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-58][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-59][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-60][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-61][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-62][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-63][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-64][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-65][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-66][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-67][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-68][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-69][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-70][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-71][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-72][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-73][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-74][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-75][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-76][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-77][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-78][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-79][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-80][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-81][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-82][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-83][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-84][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-85][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-86][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-87][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-88][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-89][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-90][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-91][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-92][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-93][est]:0.860759236217, [payload]:0, [RSSI]:231 
[2-94][est]:0.860759236217, [payload]:e2, [RSSI]:231 
[2-95][est]:0.860759236217, [payload]:6c, [RSSI]:231 
[3-0][est]:1.0, [payload]:61, [RSSI]:226 
[3-1][est]:1.0, [payload]:88, [RSSI]:226 
[3-2][est]:1.0, [payload]:2, [RSSI]:226 
[3-3][est]:1.0, [payload]:ff, [RSSI]:226 
[3-4][est]:1.0, [payload]:10, [RSSI]:226 
[3-5][est]:1.0, [payload]:7, [RSSI]:226 
[3-6][est]:1.0, [payload]:0, [RSSI]:226 
[3-7][est]:1.0, [payload]:0, [RSSI]:226 
[3-8][est]:1.0, [payload]:3f, [RSSI]:226 
[3-9][est]:1.0, [payload]:ef, [RSSI]:226 
[3-10][est]:1.0, [payload]:0, [RSSI]:226 
[3-11][est]:1.0, [payload]:0, [RSSI]:226 
[3-12][est]:1.0, [payload]:0, [RSSI]:226 
[3-13][est]:1.0, [payload]:0, [RSSI]:226 
[3-14][est]:1.0, [payload]:0, [RSSI]:226 
[3-15][est]:1.0, [payload]:0, [RSSI]:226 
[3-16][est]:1.0, [payload]:0, [RSSI]:226 
[3-17][est]:1.0, [payload]:0, [RSSI]:226 
[3-18][est]:1.0, [payload]:0, [RSSI]:226 
[3-19][est]:1.0, [payload]:0, [RSSI]:226 
[3-20][est]:1.0, [payload]:0, [RSSI]:226 
[3-21][est]:1.0, [payload]:0, [RSSI]:226 
[3-22][est]:1.0, [payload]:0, [RSSI]:226 
[3-23][est]:1.0, [payload]:0, [RSSI]:226 
[3-24][est]:1.0, [payload]:0, [RSSI]:226 
[3-25][est]:1.0, [payload]:0, [RSSI]:226 
[3-26][est]:1.0, [payload]:0, [RSSI]:226 
[3-27][est]:1.0, [payload]:0, [RSSI]:226 
[3-28][est]:1.0, [payload]:0, [RSSI]:226 
[3-29][est]:1.0, [payload]:0, [RSSI]:226 
[3-30][est]:1.0, [payload]:0, [RSSI]:226 
[3-31][est]:1.0, [payload]:0, [RSSI]:226 
[3-32][est]:1.0, [payload]:0, [RSSI]:226 
[3-33][est]:1.0, [payload]:0, [RSSI]:226 
[3-34][est]:1.0, [payload]:0, [RSSI]:226 
[3-35][est]:1.0, [payload]:0, [RSSI]:226 
[3-36][est]:1.0, [payload]:0, [RSSI]:226 
[3-37][est]:1.0, [payload]:0, [RSSI]:226 
[3-38][est]:1.0, [payload]:0, [RSSI]:226 
[3-39][est]:1.0, [payload]:0, [RSSI]:226 
[3-40][est]:1.0, [payload]:0, [RSSI]:226 
[3-41][est]:1.0, [payload]:0, [RSSI]:226 
[3-42][est]:1.0, [payload]:0, [RSSI]:226 
[3-43][est]:1.0, [payload]:0, [RSSI]:226 
[3-44][est]:1.0, [payload]:0, [RSSI]:226 
[3-45][est]:1.0, [payload]:0, [RSSI]:226 
[3-46][est]:1.0, [payload]:0, [RSSI]:226 
[3-47][est]:1.0, [payload]:0, [RSSI]:226 
[3-48][est]:1.0, [payload]:0, [RSSI]:226 
[3-49][est]:1.0, [payload]:0, [RSSI]:226 
[3-50][est]:1.0, [payload]:0, [RSSI]:226 
[3-51][est]:1.0, [payload]:0, [RSSI]:226 
[3-52][est]:1.0, [payload]:0, [RSSI]:226 
[3-53][est]:1.0, [payload]:0, [RSSI]:226 
[3-54][est]:1.0, [payload]:0, [RSSI]:226 
[3-55][est]:1.0, [payload]:0, [RSSI]:226 
[3-56][est]:1.0, [payload]:0, [RSSI]:226 
[3-57][est]:1.0, [payload]:0, [RSSI]:226 
[3-58][est]:1.0, [payload]:0, [RSSI]:226 
[3-59][est]:1.0, [payload]:0, [RSSI]:226 
[3-60][est]:1.0, [payload]:0, [RSSI]:226 
[3-61][est]:1.0, [payload]:0, [RSSI]:226 
[3-62][est]:1.0, [payload]:0, [RSSI]:226 
[3-63][est]:1.0, [payload]:0, [RSSI]:226 
[3-64][est]:1.0, [payload]:0, [RSSI]:226 
[3-65][est]:1.0, [payload]:0, [RSSI]:226 
[3-66][est]:1.0, [payload]:0, [RSSI]:226 
[3-67][est]:1.0, [payload]:0, [RSSI]:226 
[3-68][est]:1.0, [payload]:0, [RSSI]:226 
[3-69][est]:1.0, [payload]:0, [RSSI]:226 
[3-70][est]:1.0, [payload]:0, [RSSI]:226 
