[31-51][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-52][raw_rssi]:239, [spredRSSI]:235, [raw_data]:0
[31-53][raw_rssi]:240, [spredRSSI]:235, [raw_data]:0
[31-54][raw_rssi]:241, [spredRSSI]:235, [raw_data]:0
[31-55][raw_rssi]:241, [spredRSSI]:235, [raw_data]:0
[pilot][31-56][raw_rssi]:241, [spredRSSI]:235, [raw_data]:0
[31-57][raw_rssi]:241, [spredRSSI]:235, [raw_data]:0
[31-58][raw_rssi]:241, [spredRSSI]:235, [raw_data]:0
[31-59][raw_rssi]:240, [spredRSSI]:235, [raw_data]:0
[31-60][raw_rssi]:238, [spredRSSI]:235, [raw_data]:0
[31-61][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-62][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-63][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[pilot][31-64][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-65][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-66][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-67][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-68][raw_rssi]:238, [spredRSSI]:235, [raw_data]:0
[31-69][raw_rssi]:239, [spredRSSI]:235, [raw_data]:0
[31-70][raw_rssi]:241, [spredRSSI]:235, [raw_data]:0
[31-71][raw_rssi]:240, [spredRSSI]:235, [raw_data]:0
[pilot][31-72][raw_rssi]:238, [spredRSSI]:235, [raw_data]:0
[31-73][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-74][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-75][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-76][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-77][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-78][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-79][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[pilot][31-80][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-81][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-82][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-83][raw_rssi]:236, [spredRSSI]:235, [raw_data]:0
[31-84][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-85][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-86][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-87][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[pilot][31-88][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-89][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-90][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-91][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-92][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-93][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-94][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[31-95][raw_rssi]:-1, [spredRSSI]:235, [raw_data]:0
[pilot][32-0][raw_rssi]:235, [spredRSSI]:233, [raw_data]:0
[32-1][raw_rssi]:236, [spredRSSI]:233, [raw_data]:0
[32-2][raw_rssi]:237, [spredRSSI]:233, [raw_data]:0
