[1-63][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-64][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-65][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-66][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-67][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-68][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-69][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-70][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-71][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-72][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-73][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-74][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-75][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-76][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-77][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-78][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-79][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-80][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-81][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-82][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[1-83][est]:0.513602482704, [payload]:0, [Metric-RSSI]:[0]0,[1]0 
[2-0][est]:0.969959411149, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]1 
[2-1][est]:0.969959411149, [payload]:0, [Metric-RSSI]:[0]1,[1]1,[2]0 
[2-2][est]:0.81377656814, [payload]:0, [Metric-RSSI]:[0]1,[1]0,[2]0 
[2-3][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-4][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-5][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-6][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-7][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-8][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-9][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
[2-10][est]:0.37163083824, [payload]:0, [Metric-RSSI]:[0]0,[1]0,[2]0 
