[1-74][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-75][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-76][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-77][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-78][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-79][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-80][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-81][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-82][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]64.9986264231 
[1-83][est]:0.641234743761, [payload]:0, [Metric-SINR]:[0]64.9986264231,[1]64.9986264231,[2]0 
[2-0][est]:0.35315681132, [payload]:0, [Metric-SINR]:[0]35.8417176221,[1]35.8417176221,[2]35.8417176221 
[2-1][est]:0.395221507744, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]35.8417176221,[2]35.8417176221 
[2-2][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]35.8417176221 
[2-3][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-4][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-5][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-6][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-7][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-8][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-9][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-10][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-11][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-12][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-13][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-14][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-15][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-16][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-17][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-18][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
[2-19][est]:0.438873583922, [payload]:0, [Metric-SINR]:[0]58.994529112,[1]58.994529112,[2]58.994529112 
