[1-10][est]:1.43521990276e-34, [payload]:d, [Metric-SINR]:[0]-39.0013730305 
[1-11][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-12][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-13][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730306 
[1-14][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730308 
[1-15][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730308 
[1-16][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730306 
[1-17][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730306 
[1-18][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-19][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-20][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-21][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-22][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-23][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-24][est]:1.43521990276e-34, [payload]:f0, [Metric-SINR]:[0]-39.0013730305 
[1-25][est]:1.43521990276e-34, [payload]:dd, [Metric-SINR]:[0]-39.0013730305 
[1-26][est]:1.43521990276e-34, [payload]:a0, [Metric-SINR]:[0]-39.0013730305 
[1-27][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-28][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-29][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-30][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-31][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-32][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-33][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-34][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-35][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-36][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-37][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-38][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-39][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-40][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-41][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-42][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-43][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-44][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-45][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-46][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-47][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-48][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
[1-49][est]:1.43521990276e-34, [payload]:0, [Metric-SINR]:[0]-39.0013730305 
