[0-65][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-66][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-67][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-68][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-69][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-70][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-71][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-72][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-73][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-74][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-75][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-76][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-77][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-78][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-79][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-80][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-81][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-82][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[0-83][est]:0.000313684036219, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-0][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-1][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-2][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-3][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-4][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-5][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-6][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-7][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-8][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-9][est]:0.000316152390313, [payload]:90, [Metric-RSSI]:[0]1.0,[1]1,[2]0,[3]0,[4]0,[5]0 
[1-10][est]:0.00031864054239, [payload]:d, [Metric-RSSI]:[0]1.0,[1]1,[2]1,[3]0,[4]0,[5]0 
[1-11][est]:0.000326222411163, [payload]:0, [Metric-RSSI]:[0]1.0,[1]3,[2]1,[3]1,[4]0,[5]0 
[1-12][est]:0.00033398494393, [payload]:0, [Metric-RSSI]:[0]1.0,[1]4,[2]3,[3]1,[4]1,[5]0 
[1-13][est]:0.000344623174869, [payload]:0, [Metric-RSSI]:[0]1.0,[1]5,[2]4,[3]3,[4]1,[5]1 
[1-14][est]:0.000347336137668, [payload]:0, [Metric-RSSI]:[0]1.0,[1]3,[2]5,[3]5,[4]4,[5]3 
[1-15][est]:0.000339263399581, [payload]:0, [Metric-RSSI]:[0]1.0,[1]2,[2]3,[3]5,[4]5,[5]4 
[1-16][est]:0.000326223529853, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]2,[3]3,[4]5,[5]5 
[1-17][est]:0.000318640955253, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]2,[4]3,[5]5 
[1-18][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]2,[5]3 
[1-19][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]2 
[1-20][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-21][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-22][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-23][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-24][est]:0.000313683995877, [payload]:f0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-25][est]:0.000313683995877, [payload]:dd, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-26][est]:0.000313683995877, [payload]:a0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-27][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-28][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
[1-29][est]:0.000313683995877, [payload]:0, [Metric-RSSI]:[0]1.0,[1]0,[2]0,[3]0,[4]0,[5]0 
